key_resp.keys,key_resp.corr,tilt,hit,miss,fa,cr
down,1,3,,,,1
down,1,-5,,,,1
down,1,-2,,,,1
up,1,0,1,,,
down,1,2,,,,1
down,1,-5,,,,1
down,1,-3,,,,1
down,1,4,,,,1
down,1,4,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,-2,,,,1
down,1,-3,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
down,1,4,,,,1
down,1,-4,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,4,,,,1
up,1,0,1,,,
down,1,-3,,,,1
down,1,3,,,,1
up,1,0,1,,,
down,1,3,,,,1
down,1,-5,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,3,,,,1
down,1,-4,,,,1
up,1,0,1,,,
down,1,-5,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
down,1,-4,,,,1
up,1,0,1,,,
up,0,1,,,1,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,4,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,3,,,,1
up,1,0,1,,,
down,0,0,,1,,
up,1,0,1,,,
up,0,2,,,1,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,3,,,,1
down,1,-2,,,,1
up,1,0,1,,,
down,1,-5,,,,1
up,1,0,1,,,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
up,1,0,1,,,
up,0,-3,,,1,
up,1,0,1,,,
down,1,-4,,,,1
up,1,0,1,,,
up,0,2,,,1,
up,1,0,1,,,
up,1,0,1,,,
down,1,-5,,,,1
up,1,0,1,,,
up,0,1,,,1,
down,1,-4,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
down,1,4,,,,1
up,1,0,1,,,
down,1,-3,,,,1
down,1,4,,,,1
up,0,1,,,1,
down,1,-4,,,,1
up,1,0,1,,,
down,1,4,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,0,-2,,,1,
down,1,-4,,,,1
down,1,-5,,,,1
up,1,0,1,,,
,,,49,4,7,40
,,,,,,
,,,,,,
,,responded YES,responded NO,,,
,signal present,49,4,,,
,signal absent,7,40,,,
,,,,,,
,prop hit,0.924528302,,d-prime,2.477214093,
,prop fa,0.14893617,,c,-0.197600135,
